# Cs   Pb   I   N   C   H
2.068228664013112283e-01 1.024962973997818466e-01 1.462830638142234851e-01 1.903465023522333266e-01 1.684065983577478498e-01 1.856446716747023329e-01
1.899931403950292641e-01 9.780475339116180555e-02 1.402684661733160643e-01 1.959167062509840629e-01 1.791933992622295746e-01 1.968235345272791592e-01
1.833877776960179118e-01 9.737128086899898838e-02 1.386380333297446421e-01 1.968073269074339660e-01 1.831091011804521773e-01 2.006864800173523977e-01
1.766289749165001477e-01 1.035973627099926464e-01 1.405922126944354200e-01 1.969993945560132298e-01 1.820886825864483360e-01 2.000933725366102478e-01
1.739567417077056977e-01 1.139093101209740916e-01 1.461359161510218385e-01 1.978038525649562784e-01 1.744947512054125238e-01 1.936994282499295006e-01
1.720624874093135137e-01 1.105457524871670538e-01 1.456408061418445199e-01 1.987758988859898157e-01 1.764812236180757221e-01 1.964938314576094858e-01
1.702370275799326982e-01 1.155005474272997740e-01 1.485664533608153925e-01 1.957353407086505903e-01 1.759476437792095171e-01 1.940129871440919862e-01
1.713055559780390369e-01 1.162755872875300689e-01 1.494509405879119734e-01 1.917579686756872848e-01 1.772310762773346149e-01 1.939788711934969934e-01
1.630243260053896581e-01 1.195870492524594986e-01 1.515829779815048295e-01 1.924969331899398783e-01 1.771290045714404293e-01 1.961797089992657894e-01
1.629112590874399469e-01 1.211778105902811542e-01 1.554016584933877454e-01 1.916308757414305619e-01 1.739847327469807581e-01 1.948936633404799446e-01
1.675676698580799984e-01 1.162005116263210291e-01 1.603773759288427414e-01 1.884343635080203416e-01 1.737497700143964541e-01 1.936703090643394076e-01
1.711403503536370607e-01 1.192462935448300454e-01 1.681587312278552959e-01 1.870626239514585065e-01 1.666950701674080326e-01 1.876969307548110311e-01
1.635591700991086972e-01 1.246958986166254585e-01 1.734099130933221267e-01 1.873493233062591690e-01 1.643941801195201446e-01 1.865915147651644457e-01
1.547484218357778607e-01 1.272835252316736887e-01 1.754835589175650634e-01 1.894766759850902982e-01 1.653757931355074595e-01 1.876320248943856850e-01
1.576658636733650753e-01 1.210979167837742954e-01 1.708867718325437490e-01 1.888984169730001939e-01 1.701058433938708592e-01 1.913451873434459105e-01
1.652805673766241379e-01 1.188975879642633487e-01 1.691872093081304984e-01 1.843972814363243895e-01 1.708429740021251420e-01 1.913943799125323586e-01
1.694931942717963214e-01 1.131986162295881421e-01 1.675170626468610313e-01 1.839891152884248204e-01 1.730064183592778804e-01 1.927955932040517906e-01
1.777641003628148975e-01 1.105331805909673670e-01 1.672358358861716632e-01 1.835255108456630702e-01 1.702429299191997036e-01 1.906984423951834096e-01
1.901370225919264134e-01 1.136693772521007173e-01 1.673992167654339003e-01 1.748567493775986248e-01 1.669926653384977422e-01 1.869449686744425743e-01
1.909944028501332769e-01 1.196412994366149868e-01 1.762453250162161755e-01 1.727538977449840085e-01 1.599393767372970787e-01 1.804256982147543764e-01
2.003690573042348211e-01 1.222295100007607799e-01 1.787875019120212516e-01 1.720136457519835793e-01 1.521892906301170745e-01 1.744109944008824797e-01
2.012473219186544648e-01 1.191349998280196165e-01 1.809797321927858749e-01 1.704175903756450228e-01 1.524117799227422965e-01 1.758085757621527800e-01
1.832819181101031647e-01 1.155137023444213207e-01 1.807874694366385371e-01 1.772549412548827252e-01 1.594731968941902056e-01 1.836887719597641022e-01
1.823130563710074481e-01 1.173119514962375765e-01 1.853447735614896785e-01 1.776578002278490498e-01 1.569687340859335922e-01 1.804036842574827104e-01
1.801838779727483741e-01 1.186125054861662392e-01 1.887616527669427613e-01 1.761269273640676813e-01 1.559544414749877983e-01 1.803605949350872983e-01
1.790861864622641242e-01 1.142628250209419549e-01 1.869859195001512264e-01 1.728345082264872157e-01 1.616022017638683306e-01 1.852283590262871482e-01
1.780974838879393340e-01 1.158262511480830509e-01 1.825716851296915466e-01 1.678687609618899346e-01 1.662051096974980213e-01 1.894307091748980987e-01
1.820859125623732200e-01 1.134740212309795909e-01 1.809297276444926106e-01 1.653335691585199330e-01 1.675211360294825425e-01 1.906556333741521170e-01
1.762697508232750343e-01 1.092073951767099510e-01 1.830842399563770984e-01 1.644902948713991286e-01 1.719028251297856635e-01 1.950454940424532491e-01
1.682416629188429325e-01 1.097167979213506117e-01 1.824252920536553468e-01 1.643862182692714391e-01 1.762076862230918806e-01 1.990223426137878726e-01
1.668462119369788776e-01 1.109941401274396749e-01 1.811519866906454723e-01 1.648256517782429043e-01 1.769507208598426196e-01 1.992312886068504096e-01
1.516167880845838145e-01 1.104159139254567712e-01 1.798375871412473681e-01 1.660651845362862977e-01 1.838531216044119732e-01 2.082114047080137476e-01
1.410782538866150182e-01 1.174654582150723714e-01 1.868688588511569215e-01 1.647040218122389765e-01 1.822775468036515190e-01 2.076058604312652489e-01
1.370770224815548166e-01 1.240638758618186760e-01 1.797510291795267057e-01 1.467155993623661947e-01 1.940755570455227341e-01 2.183169160692108590e-01
1.425241402215645103e-01 1.235279442591487725e-01 1.758589699899676673e-01 1.398808078676399003e-01 1.972906299693100163e-01 2.209175076923690917e-01
1.566241756579223599e-01 1.282631126973513558e-01 1.831199744554037057e-01 1.399001408887659004e-01 1.836488824512189089e-01 2.084437138493376585e-01
1.870102187398846871e-01 1.242444999983484538e-01 1.803257053381590591e-01 1.354367701891747988e-01 1.741402225774407730e-01 1.988425831569922420e-01
1.992079595698711403e-01 1.192210451172178581e-01 1.841606072130172744e-01 1.325327407680931269e-01 1.709188749646041450e-01 1.939587723671964414e-01
2.029268233198159854e-01 1.101673880216360868e-01 1.724838611257179244e-01 1.273579281354572101e-01 1.827219416240412897e-01 2.043420577733315868e-01
2.115107033091528921e-01 1.129945824145530547e-01 1.741398206088762834e-01 1.272250122787747795e-01 1.753858414742519856e-01 1.987440399143909353e-01
2.197058940411145689e-01 1.150742169338631604e-01 1.759265057509729613e-01 1.223431329362520276e-01 1.726160270694684917e-01 1.943342232683287485e-01
2.301424225306250293e-01 1.134208945315163392e-01 1.738972237470094440e-01 1.193188008701243918e-01 1.703337922510811397e-01 1.928868660696436976e-01
2.157429982401072865e-01 1.175402241565924460e-01 1.824908972686597741e-01 1.228322999571374308e-01 1.694061338387114202e-01 1.919874465387915730e-01
2.219602721688505587e-01 1.185828817010672748e-01 1.868594908056578074e-01 1.179483501256710504e-01 1.665238228517128272e-01 1.881251823470403706e-01
2.360060262177983426e-01 1.166806371274231452e-01 1.916365497202430768e-01 1.049673319433439556e-01 1.641550480016056301e-01 1.865544069895859192e-01
2.247263457151939536e-01 1.165972233607019126e-01 1.871760139266354372e-01 1.134292110538292070e-01 1.673001992443972907e-01 1.907710066992422127e-01
2.093718307025995984e-01 1.142943477974946997e-01 1.841365417943481020e-01 1.141157722925923851e-01 1.761277339878023485e-01 2.019537734251628525e-01
2.111725283455528068e-01 1.145382299540686072e-01 1.834647030468353202e-01 1.069246139854920091e-01 1.784911341533025053e-01 2.054087905147487514e-01
2.397513262461618277e-01 1.071754205189190540e-01 1.869822351429883955e-01 1.055159637106856951e-01 1.665434838501124171e-01 1.940315705311325967e-01
2.167858449897362705e-01 1.131168495011728309e-01 1.843064248720475695e-01 1.124525718668256957e-01 1.706202337865127538e-01 2.027180749837048657e-01
1.863425586716866977e-01 1.257386206784380511e-01 1.784728722703583792e-01 1.180200300304083683e-01 1.778737963861300453e-01 2.135521219629784584e-01
1.622586001412517631e-01 1.277877296689200470e-01 1.723147165413091986e-01 1.199547665118363693e-01 1.896559589784805600e-01 2.280282281582020065e-01
1.468063743278603117e-01 1.181960417711663408e-01 1.637981751458581769e-01 1.205193570157356703e-01 2.027551890123487355e-01 2.479248627270308203e-01
1.345015032881241024e-01 1.084426406008583976e-01 1.576356878856303434e-01 1.206803622844621338e-01 2.141554604467262868e-01 2.645843454941987360e-01
1.383729645869123948e-01 1.076459943011647269e-01 1.595097732390079459e-01 1.196304165632487149e-01 2.128486206430239280e-01 2.619922306666422895e-01
1.659575678222827977e-01 1.074844407758808879e-01 1.502197693441147675e-01 1.090314745005789981e-01 2.109297214421686495e-01 2.563770261149738161e-01
1.686472139721341690e-01 9.006955783569353668e-02 1.329238652248198871e-01 1.005369364265878140e-01 2.269189427969496853e-01 2.809034837438148524e-01
1.649746624997313338e-01 9.345173967120605496e-02 1.255926060884390016e-01 9.691031026524621339e-02 2.350664362766834714e-01 2.840042451986937722e-01
1.871854423454358263e-01 9.750950593189602889e-02 1.251349029170645000e-01 9.632891135830594365e-02 2.279971038290859453e-01 2.658441336182117420e-01
2.749940512442367035e-01 8.781313561089255926e-02 1.311748501089230745e-01 9.426132225068518944e-02 1.896437508354398005e-01 2.221128899498227838e-01
2.410489529842469447e-01 8.954817114823361568e-02 1.288199968803733775e-01 9.657444289536092075e-02 2.037894413410651639e-01 2.402189947507199219e-01
1.651830240436105712e-01 9.728602743882759640e-02 1.238489849847137780e-01 9.501860005684745203e-02 2.410442827996693016e-01 2.776190806763312313e-01
1.518288282059649663e-01 9.151072796410125720e-02 1.119476934339582452e-01 9.480996857479678797e-02 2.576639063649714956e-01 2.922388754562071367e-01
1.670940746788766307e-01 7.798287005753024026e-02 1.048051111526516199e-01 9.596605045030728864e-02 2.588215824819884991e-01 2.953303111786457769e-01
2.225277340310430618e-01 6.381926886455320524e-02 1.037865849895914933e-01 1.029914848811639000e-01 2.380889195249339396e-01 2.687860077087143584e-01
3.204722120170342414e-01 6.438639777228975791e-02 1.107284626093485713e-01 9.513159743992402606e-02 1.938175333101669340e-01 2.154637968512364277e-01
3.523209450844714818e-01 6.511331525899026473e-02 1.185401784947134468e-01 8.435611549091373562e-02 1.776257105364804356e-01 2.020437351344306076e-01
3.746779234052994290e-01 5.919154686491795436e-02 1.256555311389207785e-01 7.542122330742852265e-02 1.703869904811087244e-01 1.946667848023245773e-01
2.301735399932736958e-01 5.608790450646103376e-02 1.149350639969082821e-01 8.582837993025568823e-02 2.307841774747651509e-01 2.821909340983360659e-01
1.374964593780067801e-01 5.676249378628177994e-02 1.153290818809337981e-01 1.080222597633437032e-01 2.657201534423193068e-01 3.166695517491147083e-01
1.359406365377401615e-01 5.977957023713013907e-02 1.270319663794387821e-01 1.263405605296831768e-01 2.571272141186851656e-01 2.937800521973225609e-01
1.198079879706333700e-01 6.217510474323743180e-02 1.255338854719413033e-01 1.266580187883744046e-01 2.629744348559642786e-01 3.028505681698491769e-01
9.204733644516530089e-02 6.543390200048616878e-02 1.333204034622232914e-01 1.427247542529334334e-01 2.619752861690306522e-01 3.044983176701611671e-01
7.949742196052946019e-02 6.597273631864873644e-02 1.382063546822651923e-01 1.474496979667577201e-01 2.571404692736369846e-01 3.117333197981618231e-01
6.342092457814083040e-02 6.458667675718675338e-02 1.370300336667343299e-01 1.506767598095916094e-01 2.647942209771221300e-01 3.194913842112243607e-01
6.536284909617171013e-02 7.753947565946935072e-02 1.460787011810702196e-01 1.531281456945629005e-01 2.558198491034096578e-01 3.020709792653161196e-01
7.504106352443876138e-02 1.138430923546992907e-01 1.464108766279221818e-01 1.198640511369357120e-01 2.377762460191458760e-01 3.070646703368581920e-01
6.069369795775849535e-02 1.100664408903843927e-01 1.433400768574042417e-01 1.326771257455419961e-01 2.394501412159245335e-01 3.137725173329863892e-01
4.762911260187597390e-02 9.552013359365504885e-02 1.271476183366417045e-01 1.412378657238447799e-01 2.540175986247549256e-01 3.344476711192275187e-01
5.052564761522789633e-02 1.050392901924265127e-01 1.310196651801710799e-01 1.337764303627596574e-01 2.524620166164172619e-01 3.271769500329974600e-01
5.142142879928920940e-02 1.221748652726696860e-01 1.345704583961080947e-01 1.289095907879598546e-01 2.461683520952287207e-01 3.167553046487445179e-01
5.664668066090622345e-02 1.375381031110633201e-01 1.360259873798761177e-01 1.185366978851229713e-01 2.377280696381278424e-01 3.135244613249036361e-01
5.944208385955134649e-02 1.582028222749688184e-01 1.366302562157266087e-01 1.108608983755272476e-01 2.303219823958168322e-01 3.045419568784090703e-01
5.375017159493590546e-02 1.607409550692265321e-01 1.279715130378778765e-01 1.185987274847140893e-01 2.312287282291723978e-01 3.077099045840732128e-01
5.510262234313124952e-02 1.670968015052150535e-01 1.298831114934312636e-01 1.245806159493434567e-01 2.247514429696644278e-01 2.985854057392146599e-01
5.464129942374843646e-02 1.745144501956797933e-01 1.318011829031036919e-01 1.229105476601295571e-01 2.233371624635205333e-01 2.927953573538178422e-01
5.162854674496792501e-02 1.656587483053511833e-01 1.249023510285460631e-01 1.187171451093452373e-01 2.328491173489934118e-01 3.062440914627960753e-01
5.003899411305735845e-02 1.530430837450771631e-01 1.165138571306337661e-01 1.193470871609067924e-01 2.409067007688980577e-01 3.201502770814267929e-01
4.713858779289858969e-02 1.696333530938552714e-01 1.245163622162708400e-01 1.177102672982455189e-01 2.303531360749105084e-01 3.106482935238191745e-01
4.276277520509212671e-02 1.849303681703308444e-01 1.329880439551300308e-01 1.188160006362500853e-01 2.231148439904895309e-01 2.973879680427073402e-01
3.541106262318486492e-02 1.588777298852039888e-01 1.175801410684903098e-01 1.269843624535910431e-01 2.440248167495370768e-01 3.171218872199927374e-01
2.967435127519799445e-02 1.387494009400190298e-01 1.088686596300750958e-01 1.375732539629213047e-01 2.550003677106696398e-01 3.301339664811169250e-01
2.886730256902184100e-02 1.453730277925919523e-01 1.106950923784059543e-01 1.351358293249345921e-01 2.461796976065584452e-01 3.337490503284871179e-01
2.897424644471760513e-02 1.555118271445337930e-01 1.098474571239824449e-01 1.248540357862681360e-01 2.449531637634055348e-01 3.358592697370924585e-01
2.874365260736022609e-02 1.611950631859959127e-01 1.095581922701146099e-01 1.241885633424773261e-01 2.425845611580822736e-01 3.337299674359695545e-01
2.828623701799173537e-02 1.692735428037350498e-01 1.105214451005101517e-01 1.244671190784364112e-01 2.390989392091693588e-01 3.283527167901572619e-01
2.651173237935658400e-02 1.627765992946474394e-01 1.053697221379440302e-01 1.242630819169839307e-01 2.453037046070191129e-01 3.357751596640490277e-01
2.538785282874411742e-02 1.670204458635881628e-01 1.067747376626532463e-01 1.280961977669188012e-01 2.402522565302059598e-01 3.324685093478896292e-01
2.537935975131649230e-02 1.699776603344423376e-01 1.085192156771224714e-01 1.320201701104668779e-01 2.350171294888191986e-01 3.290864646378326430e-01
2.624645167714791463e-02 1.830854240426547097e-01 1.127102327201687237e-01 1.292433933042217986e-01 2.279449621426681560e-01 3.207695361131386869e-01
2.545788553164968215e-02 1.821039175799294141e-01 1.162362426776929886e-01 1.405416570686708055e-01 2.269338565315362211e-01 3.087264406105209025e-01
2.755386047718787548e-02 2.033002510752746073e-01 1.265885721464830305e-01 1.385533696023868722e-01 2.124262191713326697e-01 2.915777275273350178e-01
3.079217995240088324e-02 2.592609878296980308e-01 1.500691003111723210e-01 1.164572889579332526e-01 1.886093884747072902e-01 2.548110544740881389e-01
3.639220969670298872e-02 2.741816632690357025e-01 1.292668709390576987e-01 1.250825709786146933e-01 1.859836529391051541e-01 2.490930321774837142e-01
3.457851695268123610e-02 2.632946296433713029e-01 1.199562052335878953e-01 1.292960384699999854e-01 1.963693245172415947e-01 2.565052851831180480e-01
2.885634774564927243e-02 2.412707964303918151e-01 1.158916887552718794e-01 1.343628572362791096e-01 2.095455015585633018e-01 2.700728082738447222e-01
2.758230341057970811e-02 2.435645505454928361e-01 1.252766358964999271e-01 1.363785097258113088e-01 2.045126293057802913e-01 2.626853711158359528e-01
2.521175573091507735e-02 2.202721522983379920e-01 1.212073956591692148e-01 1.350410102542419777e-01 2.198860133175811749e-01 2.783816727397544488e-01
1.953168065550250562e-02 1.878073900210695812e-01 1.091947840227967675e-01 1.292869400657812862e-01 2.456116178220014157e-01 3.085675874128483986e-01
1.509348909094932432e-02 1.392137774658140092e-01 9.191503396090990041e-02 1.381594016837044692e-01 2.769607616881481493e-01 3.386575361104741111e-01
1.129044814513222549e-02 8.752068921631531162e-02 6.753641570794156890e-02 1.484144408674530902e-01 3.137652526424724586e-01 3.714727534206853088e-01
1.153569918409442889e-02 6.968299315938600302e-02 6.030203846785726907e-02 1.513849945243564143e-01 3.277392191811554500e-01 3.793550554831503496e-01
1.067501879294115510e-02 6.150907655917123990e-02 5.891016475345844938e-02 1.553759184850283526e-01 3.328945930081603222e-01 3.806352284012404219e-01
9.972666782445509248e-03 5.970877518675427736e-02 6.853673142461755297e-02 1.576950048437458507e-01 3.260898567418552552e-01 3.779969650205815546e-01
1.723551205819205331e-02 6.104531206101913160e-02 8.964359859567143374e-02 1.514568429571943320e-01 3.133327503326345798e-01 3.672859839952885008e-01
2.228107712080574024e-02 6.943321137155326894e-02 1.002957341530430202e-01 1.412113920640130638e-01 3.017972013906446427e-01 3.649813838999403370e-01
2.615195611548971899e-02 6.919398139030150108e-02 9.760113005936880970e-02 1.391610673760315942e-01 2.986011832527040166e-01 3.692906818061041929e-01
1.919057376076166443e-02 5.429930450894373400e-02 8.295305429516854068e-02 1.528857500336726627e-01 3.191317054281531118e-01 3.715396119733002100e-01
2.234138070179325641e-02 5.709558204634872236e-02 8.397887327390324286e-02 1.485725514842518857e-01 3.131906692878271281e-01 3.748209432058757784e-01
3.329707679433176193e-02 6.687843708948096322e-02 1.112246758559748416e-01 1.391861371622936383e-01 2.877818240236835190e-01 3.616318490742351788e-01
3.369247501851978938e-02 6.547956948678354538e-02 9.790515473209229769e-02 1.353449880088610502e-01 2.985653704200785796e-01 3.690124423336647586e-01
1.348726593354306579e-02 4.863367317917558635e-02 5.880795736190218975e-02 1.472920489049021064e-01 3.211043134215632033e-01 4.106747411989138952e-01
1.205127411234462910e-02 4.816061700979695770e-02 5.043279808373290346e-02 1.467370168414077192e-01 3.114991057267721408e-01 4.311191882259456931e-01
1.218197181813120838e-02 5.174713956315093316e-02 4.998274292353904746e-02 1.480994231348169987e-01 3.016256086984777651e-01 4.363631138618839778e-01
9.721082650495661490e-03 5.138776843740588268e-02 4.898275098848375170e-02 1.471407141196286184e-01 3.102631720889309497e-01 4.325045117150551621e-01
8.911825770767637170e-03 5.016286268383048780e-02 5.019340468257438292e-02 1.506400142760871974e-01 3.093271766808096124e-01 4.307647159059307951e-01
9.601083137298125833e-03 4.902098913929488905e-02 5.148017271536287770e-02 1.547388678917490656e-01 2.944971552868730913e-01 4.406617318294220875e-01
9.236654052899690229e-03 4.865677072405447112e-02 4.692307104493730063e-02 1.577524074896411166e-01 2.908526998089245308e-01 4.465783968795429271e-01
1.144981907596610837e-02 4.735505270607209827e-02 4.988603876889047967e-02 1.441247606521709745e-01 2.967761194081930953e-01 4.504082093887072924e-01
1.362586377946761219e-02 4.690970950548375984e-02 6.647921472601338311e-02 1.564930584087977083e-01 2.663630352505882981e-01 4.501291183296492471e-01
1.880273419060557796e-02 7.752910758257294810e-02 1.090654963409209005e-01 1.494247160717848411e-01 2.432665533120832724e-01 4.019113925020324496e-01
4.011851948525578526e-02 1.019654093717434068e-01 1.467941205362041091e-01 1.364855246838763136e-01 2.129731044607596491e-01 3.616633214621607917e-01
2.694755690941200502e-02 8.512338767275592910e-02 1.297610149313378203e-01 1.445709787004358926e-01 2.251577121821529970e-01 3.884393496039053040e-01
2.130774808637755230e-02 8.241792468535556748e-02 1.302477752194699800e-01 1.503046000883978828e-01 2.230430290575455277e-01 3.926789228628535522e-01
2.316499898415194311e-02 8.820283259252852115e-02 1.320136397796770056e-01 1.464287244958767387e-01 2.205782709509944428e-01 3.896115331967712203e-01
2.030325930401448084e-02 9.067977819492803460e-02 1.325414437055597583e-01 1.482260961958174195e-01 2.201259674954250956e-01 3.881234551042551661e-01
2.033227306919042215e-02 1.539080431894164769e-01 2.806031952384551165e-01 1.223869546967028404e-01 1.500787151747814130e-01 2.726908186314538352e-01
1.388125363529736124e-02 1.139837928313741922e-01 2.086615724346872203e-01 1.360884972022351758e-01 1.880722374443027645e-01 3.393126464521032948e-01
1.095174696526203875e-02 9.837924869945971484e-02 1.688729015651152521e-01 1.378140205415910591e-01 2.074484434845714764e-01 3.765336387440003652e-01
1.591694939944170509e-02 1.254536484359703719e-01 2.155082590383820274e-01 1.258470031941150979e-01 1.826536786510120913e-01 3.346204612810786405e-01
1.428240790660854909e-02 1.286769291285718153e-01 2.118975587292729612e-01 1.273089404531952684e-01 1.821228914367044593e-01 3.357112723456469050e-01
1.099502930383444536e-02 1.151034542694431839e-01 1.794629051066161385e-01 1.336239000666571142e-01 1.981200800862727984e-01 3.626946311671764844e-01
1.244093405611766331e-02 1.607028751428538349e-01 2.564500889048960119e-01 1.267630633395374351e-01 1.518752275333925539e-01 2.917678110232025390e-01
1.091113455664188131e-02 2.033962670259262806e-01 3.184115157349786118e-01 1.275481011604219783e-01 1.120282651755552944e-01 2.277047163464759882e-01
1.612784100848117536e-03 2.503031373014250396e-02 4.007173693487820626e-02 1.311299693049890192e-01 2.674606784132212978e-01 5.346945175159208974e-01
7.601939518440425404e-03 1.492189294126221866e-01 4.034464006801340985e-01 1.092460998218322127e-01 1.067013687254280557e-01 2.237852618415429873e-01
1.372812862485759539e-02 1.790853147371324339e-01 3.340953780111399762e-01 1.024115423682174786e-01 1.230974273725851803e-01 2.475822088860674397e-01
1.282605291959066675e-02 1.659573009906502306e-01 3.744421294856229987e-01 9.355031889552292701e-02 1.182793087409540339e-01 2.349448889676592489e-01
2.295595316300645065e-03 2.943762179214456584e-02 4.299582739440494655e-02 1.174724347485840148e-01 2.681016453022789792e-01 5.396968754462868612e-01
1.953739120101208836e-03 2.365123816862235717e-02 3.234442703051628593e-02 1.249617226064117792e-01 2.738927799607338565e-01 5.431960931136144977e-01
1.719093799382861434e-03 1.895082935939252158e-02 2.751558218393652250e-02 1.221374357262304811e-01 2.771583733807186922e-01 5.525186855503390060e-01
1.599410812057639993e-03 1.617324822654639047e-02 2.340221254062811035e-02 1.124648999968459323e-01 2.768639416490081828e-01 5.694962867749138180e-01
1.485212489817395055e-03 1.455703393128808358e-02 2.125464513238943531e-02 1.133219340167614386e-01 2.766872671262751160e-01 5.726939073034685856e-01
1.422262199899796244e-03 1.288352656846273973e-02 1.961611001564693077e-02 1.121108301157986015e-01 2.778146501785576650e-01 5.761526209216342176e-01
1.406811212763675384e-03 1.123204365768314637e-02 1.791800961099218256e-02 1.147557536747363521e-01 2.784784707628809586e-01 5.762089110809437420e-01
1.583032199115279011e-03 9.137085550118984739e-03 1.569773928782394745e-02 1.146812479199532525e-01 2.801577672866023550e-01 5.787431277563862553e-01
1.426301794901290668e-03 8.803274655502891372e-03 1.509941624165124334e-02 1.213803625219996296e-01 2.784140227401100676e-01 5.748766220458347842e-01
1.240952399389609736e-03 8.902640166751211656e-03 1.496381838089262152e-02 1.290423992922345997e-01 2.758916948371351041e-01 5.699584949235968478e-01
1.177484478260679666e-03 8.657964273772167027e-03 1.472549882822566866e-02 1.369840186029977758e-01 2.737578057996571390e-01 5.646972280170865499e-01
1.188571717067527346e-03 9.217236638014981304e-03 1.529276979263925924e-02 1.419005796607253900e-01 2.710536322686182276e-01 5.613472099229346313e-01
1.161593482299915327e-03 1.019041219383786182e-02 1.516007706520376523e-02 1.249148691461973298e-01 2.663445920856997717e-01 5.822284560267613207e-01
1.103891883270963388e-03 1.035661735985410684e-02 1.483682949310173582e-02 1.246818409999712052e-01 2.632076031560975915e-01 5.858132171077045092e-01
1.050827235515906745e-03 9.889553011003335975e-03 1.458855293048077865e-02 1.331405394646222040e-01 2.615920223025838820e-01 5.797385050557938291e-01
9.315086259442463589e-04 9.268134867512765537e-03 1.374160058259275147e-02 1.418908557636530121e-01 2.598697398240187306e-01 5.742981603362784515e-01
9.061344254338193124e-04 9.009911055858473017e-03 1.275361090302283389e-02 1.414261000564859538e-01 2.610192387051410434e-01 5.748850048540579127e-01
9.363883099279578844e-04 9.034000936440139337e-03 1.497964783055573401e-02 1.568307924465066894e-01 2.600851633505523175e-01 5.581340071260171287e-01
9.734263529771455597e-04 8.965922401372278597e-03 1.661394739729378511e-02 1.690414521850430174e-01 2.593579867898544444e-01 5.450472648734594472e-01
9.671826453033843200e-04 8.418110535108377229e-03 1.779820703039617855e-02 1.816692219849420364e-01 2.608767218224858908e-01 5.302705559817643133e-01
1.042076566040415131e-03 8.633698060153337586e-03 1.857502653602699852e-02 1.873821840835812325e-01 2.608224645920632079e-01 5.235445501621348585e-01
1.963575696459196693e-03 8.600165694288224028e-03 1.781583714800489063e-02 2.153540124653850751e-01 2.497441310076999876e-01 5.065222779881626280e-01
